"entrez1","entrez2"
"2782","6141"
"2782","6156"
"2782","6157"
"2782","6175"
"2782","6181"
"2782","6184"
"2782","6187"
"2782","6203"
"2782","6455"
"2782","6836"
"2782","7360"
"2782","9045"
"2782","9296"
"2782","10092"
"2782","10095"
"2782","10554"
"2782","10645"
"2782","23326"
"2782","23438"
"2782","23521"
"2782","29920"
"2782","29927"
"2782","51160"
"2782","51719"
"2782","56342"
"2782","57187"
"2782","59286"
"2782","60682"
"2782","90522"
"2782","126003"
"2782","203068"
"2783","2794"
"2783","2968"
"2783","4141"
"2783","4637"
"2783","4841"
"2783","5093"
"2783","5230"
"2783","5347"
"2783","5447"
"2783","5479"
"2783","5685"
"2783","5688"
"2783","5692"
"2783","5704"
"2783","5878"
"2783","6124"
"2783","6129"
"2783","6135"
"2783","6175"
"2783","6181"
"2783","6184"
"2783","6187"
"2783","6203"
"2783","6455"
"2783","6774"
"2783","6776"
"2783","6836"
"2783","9230"
"2783","9296"
"2783","10092"
"2783","10095"
"2783","10419"
"2783","10645"
"2783","11337"
"2783","23438"
"2783","23521"
"2783","26517"
"2783","29882"
"2783","29927"
"2783","51024"
"2783","51160"
"2783","56342"
"2783","57819"
"2783","59286"
"2783","60682"
"2783","79031"
"2783","126003"
"2783","203068"
"2783","246721"
"2783","347733"
"2794","5032"
"2794","5905"
"2794","6124"
"2794","6129"
"2794","6134"
"2794","6135"
"2794","6138"
"2794","6156"
"2794","6157"
"2794","6161"
"2794","6175"
"2794","6181"
"2794","6187"
"2794","6203"
"2794","6228"
"2794","8672"
"2794","9045"
"2794","10514"
"2794","23521"
"2794","23633"
"2794","23708"
"2794","29894"
"2794","56341"
"2794","56342"
"2794","90850"
"2794","117246"
"2815","3674"
"2815","7450"
"2837","2867"
"2837","5330"
"2837","5331"
"2837","5997"
"2837","60675"
"2867","5330"
"2867","5331"
"2867","5997"
"2867","60675"
"2896","3101"
"2896","4869"
"2896","10437"
"2896","29927"
"2914","4852"
"2914","7852"
"2914","10636"
"2914","283869"
"2937","2944"
"2937","3661"
"2937","4478"
"2937","55748"
"2962","2968"
"2962","3660"
"2962","3661"
"2962","3665"
"2962","5093"
"2962","5094"
"2962","5441"
"2962","5688"
"2962","5692"
"2962","6722"
"2962","8175"
"2962","8841"
"2962","9219"
"2962","10419"
"2962","10726"
"2962","29894"
"2962","54623"
"2962","56949"
"2962","80198"
"2962","203068"
"2962","246721"
"2968","4141"
"2968","4841"
"2968","4869"
"2968","5032"
"2968","5441"
"2968","5479"
"2968","5685"
"2968","5692"
"2968","5704"
"2968","6124"
"2968","6181"
"2968","6184"
"2968","6455"
"2968","8078"
"2968","8175"
"2968","8192"
"2968","8841"
"2968","9189"
"2968","10419"
"2968","10467"
"2968","10514"
"2968","10714"
"2968","11224"
"2968","23326"
"2968","23438"
"2968","23708"
"2968","26517"
"2968","29882"
"2968","29894"
"2968","29920"
"2968","54623"
"2968","56342"
"2968","56949"
"2968","80198"
"2968","117246"
"2968","126003"
"2968","203068"
"2968","246721"
"2997","4191"
"2997","7360"
"2997","11337"
"2997","23234"
"2997","80736"
"3046","3049"
"3046","3050"
"3050","6667"
"3054","3660"
"3054","4841"
"3054","6667"
"3054","8819"
"3054","9112"
"3054","9219"
"3054","23309"
"3054","29882"
"3054","64426"
"3055","3265"
"3055","3570"
"3055","3660"
"3055","4478"
"3055","5329"
"3055","6134"
"3055","6654"
"3055","6774"
"3055","7409"
"3055","8751"
"3055","9051"
"3055","10095"
"3055","10188"
"3055","23616"
"3055","80895"
"3094","4191"
"3094","4713"
"3094","4716"
"3094","4723"
"3094","5032"
"3094","5230"
"3094","5441"
"3094","5479"
"3094","5685"
"3094","5688"
"3094","5692"
"3094","5704"
"3094","6135"
"3094","6161"
"3094","6166"
"3094","6187"
"3094","6203"
"3094","6228"
"3094","6667"
